id,subject,topic,question,A,B,C,D,answer,explanation,categoryKey,categoryLabel
17,Problem Solving,Logical Reasoning,"If no fish can walk and all sharks are fish, then:",All sharks can walk,Some sharks can walk,No sharks can walk,Sharks are not fish,C,Syllogism: no fish walks + sharks are fish = no sharks walk,problem_solving,Problem Solving And Analytical Skills
18,Problem Solving,Pattern Recognition,"Series: 1, 1, 2, 3, 5, 8, ?",11,12,13,15,C,Fibonacci sequence: 5+8=13,problem_solving,Problem Solving And Analytical Skills
19,Problem Solving,Debugging,Which debugging technique uses print statements?,Unit testing,Tracing,Breakpoints,Profiling,B,Tracing involves inserting print/log statements to follow execution,problem_solving,Problem Solving And Analytical Skills
20,Problem Solving,Data-Driven,What is the first step in data-driven problem solving?,Build model,Collect data,Visualize data,Deploy solution,B,Data collection is always the first step,problem_solving,Problem Solving And Analytical Skills
21,Problem Solving,Quantitative Reasoning,What percent is 30 of 150?,0.1,0.15,0.2,0.25,C,30/150 × 100 = 20%,problem_solving,Problem Solving And Analytical Skills
22,Problem Solving,Algorithmic Thinking,Which data structure is used in BFS traversal?,Stack,Queue,Tree,Heap,B,BFS uses a queue (FIFO) to process nodes level by level,problem_solving,Problem Solving And Analytical Skills
23,Problem Solving,Logical Reasoning,"If P implies Q, and Q implies R, then:",P implies R,R implies P,Q implies P,None of these,A,Chain rule of logical implication,problem_solving,Problem Solving And Analytical Skills
24,Problem Solving,Pattern Recognition,"Find next: 3, 6, 11, 18, 27, ?",36,38,40,38,B,"Differences: 3,5,7,9,11 → 27+11=38",problem_solving,Problem Solving And Analytical Skills
25,Problem Solving,Complexity,Binary search has worst-case complexity of:,O(n),O(log n),O(n²),O(1),B,Binary search eliminates half the elements each step,problem_solving,Problem Solving And Analytical Skills
26,Problem Solving,Critical Thinking,Which is the best first approach to an unknown problem?,Code immediately,Understand requirements,Skip difficult parts,Guess solution,B,Understanding requirements is always the critical first step,problem_solving,Problem Solving And Analytical Skills
27,Problem Solving,Algorithmic Thinking,An algorithm must be:,Infinite,Ambiguous,Finite and unambiguous,Complex,C,Algorithms must terminate and have clear unambiguous steps,problem_solving,Problem Solving And Analytical Skills
28,Problem Solving,Quantitative Reasoning,A shopkeeper buys at Rs.80 and sells at Rs.100. Profit %?,0.2,0.25,0.15,0.3,B,Profit% = (20/80)×100 = 25%,problem_solving,Problem Solving And Analytical Skills
29,Problem Solving,Pattern Recognition,"Which does NOT belong: Square, Rectangle, Circle, Triangle",Square,Rectangle,Circle,Triangle,C,Circle has no straight sides; others are polygons,problem_solving,Problem Solving And Analytical Skills
30,Problem Solving,Debugging,Syntax error is detected by:,Runtime,User,Compiler,Debugger,C,Compiler checks syntax before execution,problem_solving,Problem Solving And Analytical Skills
31,Problem Solving,Logical Reasoning,"If today is Monday, what day is it after 100 days?",Wednesday,Thursday,Friday,Saturday,C,"100 mod 7 = 2, Monday+2 = Wednesday... 100=14×7+2, Monday+2=Wednesday,A,100 mod 7 = 2; Monday + 2 = Wednesday",problem_solving,Problem Solving And Analytical Skills
32,Problem Solving,Algorithmic Thinking,Which sorting algorithm has best average-case performance?,Bubble Sort,Selection Sort,Quick Sort,Insertion Sort,C,QuickSort averages O(n log n) in practice,problem_solving,Problem Solving And Analytical Skills
33,Problem Solving,Complexity,What is O(1) complexity called?,Linear,Logarithmic,Constant,Quadratic,C,O(1) means execution time does not change with input size,problem_solving,Problem Solving And Analytical Skills
34,Problem Solving,Pattern Recognition,"Find next: 100, 50, 25, 12.5, ?",6,6.25,7,5,B,Each term is halved: 12.5/2=6.25,problem_solving,Problem Solving And Analytical Skills
35,Problem Solving,Critical Thinking,Test case that checks boundary values is called?,Unit test,Boundary test,Integration test,Stress test,B,Boundary value testing checks edge/extreme inputs,problem_solving,Problem Solving And Analytical Skills
36,Problem Solving,Data Abstraction,Which best describes an algorithm?,A program,Step-by-step procedure to solve a problem,A data structure,A programming language,B,Algorithm is a finite set of instructions to solve a problem,problem_solving,Problem Solving And Analytical Skills
37,Problem Solving,Quantitative Reasoning,"If 3x + 5 = 20, what is x?",3,4,5,6,C,3x=15 → x=5,problem_solving,Problem Solving And Analytical Skills
38,Problem Solving,Logical Reasoning,SOME A are B. SOME B are C. Therefore:,Some A are C,No A are C,All A are C,Maybe some A are C,D,Partial overlap doesn't guarantee A-C relationship,problem_solving,Problem Solving And Analytical Skills
39,Problem Solving,Algorithmic Thinking,DFS traversal uses which data structure?,Queue,Stack,Heap,Array,B,DFS uses a stack (or recursion call stack),problem_solving,Problem Solving And Analytical Skills
40,Problem Solving,Pattern Recognition,"2, 4, 8, 16, 32 — what is the pattern?",Add 2,Multiply by 2,Add 4,Subtract 2,B,Each term is doubled (geometric sequence with ratio 2),problem_solving,Problem Solving And Analytical Skills
41,Programming,Variables,A variable in programming is?,A fixed value,A named memory location,A function,A loop,B,Variables are named containers that store data values,programming,Programming (C++/Java/Python)
42,Programming,Data Types,Which data type stores decimal numbers in C++?,int,char,float,bool,C,float and double store decimal/floating-point numbers,programming,Programming (C++/Java/Python)
43,Programming,Control Structures,Which loop checks condition AFTER execution?,for,while,do-while,foreach,C,do-while always executes body at least once before checking condition,programming,Programming (C++/Java/Python)
44,Programming,OOP,Which OOP concept allows same method name with different parameters?,Inheritance,Encapsulation,Overloading,Overriding,C,Method overloading = same name different parameters,programming,Programming (C++/Java/Python)
45,Programming,OOP,Which OOP concept restricts direct access to data?,Inheritance,Encapsulation,Polymorphism,Abstraction,B,Encapsulation wraps data and restricts direct access,programming,Programming (C++/Java/Python)
46,Programming,Functions,A function that calls itself is?,Iteration,Recursion,Overloading,Inheritance,B,Recursion is when a function calls itself,programming,Programming (C++/Java/Python)
47,Programming,OOP,What is a class in OOP?,An object,Blueprint for objects,A variable,A function,B,Class is a template/blueprint from which objects are created,programming,Programming (C++/Java/Python)
48,Programming,Exception Handling,try-catch block is used to?,Speed up code,Handle exceptions,Create variables,Define functions,B,try-catch handles runtime exceptions gracefully,programming,Programming (C++/Java/Python)
49,Programming,Data Types,bool data type stores?,Numbers,Characters,True or False,Decimal values,C,Boolean stores only true or false values,programming,Programming (C++/Java/Python)
50,Programming,OOP,Creating an object from a class is called?,Inheritance,Instantiation,Polymorphism,Abstraction,B,Creating an object is called instantiation,programming,Programming (C++/Java/Python)
51,Programming,Control Structures,break statement in a loop?,Skips current iteration,Exits the loop,Restarts loop,Does nothing,B,break exits the loop immediately,programming,Programming (C++/Java/Python)
52,Programming,Control Structures,continue statement?,Exits loop,Restarts loop,Skips rest of current iteration,Terminates program,C,continue skips remaining code in current iteration,programming,Programming (C++/Java/Python)
53,Programming,OOP,Child class inheriting from parent class is?,Encapsulation,Polymorphism,Inheritance,Abstraction,C,Inheritance is when child class derives properties from parent,programming,Programming (C++/Java/Python)
54,Programming,Strings,Which function finds length of string in Python?,size(),count(),len(),length(),C,len() returns length of a string in Python,programming,Programming (C++/Java/Python)
55,Programming,Arrays,Array index starts at?,1,0,-1,2,B,Arrays are zero-indexed in most programming languages,programming,Programming (C++/Java/Python)
56,Programming,OOP,Method overriding occurs when?,Child redefines parent method with same signature,Methods have same name different params,Methods are private,Methods are static,A,Overriding = child redefines parent method with same signature,programming,Programming (C++/Java/Python)
57,Programming,Data Types,int data type in C++ typically stores?,Decimal numbers,Whole numbers,Characters,Boolean,B,int stores integers (whole numbers),programming,Programming (C++/Java/Python)
58,Programming,Functions,What is a parameter in a function?,Return value,Variable defined inside function,Input to function,Output of function,C,Parameters are inputs passed to a function,programming,Programming (C++/Java/Python)
59,Programming,Operators,++ operator in C++ does?,Multiplies by 2,Adds 1 to variable,Subtracts 1,Divides by 2,B,"#NAME?, adds 1",programming,Programming (C++/Java/Python)
60,Programming,Memory,Stack memory is used for?,Dynamic allocation,Static/local variables and function calls,Global variables,Heap objects,B,Stack stores local variables and function call frames,programming,Programming (C++/Java/Python)
61,Programming,OOP,Abstract class in Java?,Can be instantiated,Cannot be instantiated directly,Has no methods,Is always final,B,Abstract classes cannot be instantiated; must be subclassed,programming,Programming (C++/Java/Python)
62,Programming,OOP,Interface in Java?,Contains method implementations,Only contains method signatures,Is a class,Cannot be implemented,B,Interfaces define method signatures without implementations,programming,Programming (C++/Java/Python)
63,Programming,Exception Handling,finally block in exception handling?,Runs only if exception occurs,Always runs regardless of exception,Runs only if no exception,Catches exceptions,B,finally always executes whether exception occurs or not,programming,Programming (C++/Java/Python)
64,Programming,Debugging,What does a debugger do?,Compiles code,Runs code step by step to find errors,Formats code,Deploys code,B,Debugger helps find and fix bugs by stepping through code,programming,Programming (C++/Java/Python)
65,Programming,OOP,this keyword in OOP refers to?,Parent class,Current class object,Static method,Global variable,B,this refers to the current object instance,programming,Programming (C++/Java/Python)
66,Programming,Data Types,char data type stores?,Numbers,Boolean,Single character,String,C,char stores a single character,programming,Programming (C++/Java/Python)
67,Programming,Control Structures,switch statement is used for?,Loops,Multiple conditional branching,Functions,Exception handling,B,switch handles multiple conditions based on a value,programming,Programming (C++/Java/Python)
68,Programming,Arrays,2D array is best described as?,List of values,Table of rows and columns,Linked list,Stack,B,2D array is organized in rows and columns like a matrix,programming,Programming (C++/Java/Python)
69,Programming,OOP,super keyword is used to?,Create new object,Access parent class members,Define interface,Delete object,B,super accesses parent class methods and constructors,programming,Programming (C++/Java/Python)
70,Programming,Strings,String concatenation means?,Splitting string,Joining strings,Reversing string,Searching string,B,Concatenation joins two or more strings together,programming,Programming (C++/Java/Python)
71,Programming,Operators,Modulo operator % returns?,Quotient,Remainder,Product,Difference,B,% returns the remainder of division,programming,Programming (C++/Java/Python)
72,Programming,Memory,Garbage collection in Java?,Manually frees memory,Automatically frees unused memory,Allocates memory,Compresses memory,B,Java's GC automatically reclaims unused object memory,programming,Programming (C++/Java/Python)
73,Programming,OOP,Polymorphism allows?,One class only,Same interface for different types,No inheritance,Static typing only,B,Polymorphism = many forms; same interface different behaviors,programming,Programming (C++/Java/Python)
74,Programming,Functions,Return type void means?,Returns integer,Returns nothing,Returns boolean,Returns string,B,void means function does not return a value,programming,Programming (C++/Java/Python)
75,Programming,Control Structures,for loop is best used when?,Number of iterations unknown,Number of iterations known,Infinite loops,Exception handling,B,for loop is ideal when iteration count is known,programming,Programming (C++/Java/Python)
76,Programming,OOP,Constructor in OOP is?,Method that destroys object,Method called automatically when object is created,Static method,Private variable,B,Constructor initializes object when created,programming,Programming (C++/Java/Python)
77,Programming,Debugging,Logic error causes?,Program crash,Wrong output without crash,Syntax issue,Compilation failure,B,Logic errors produce incorrect results without crashing,programming,Programming (C++/Java/Python)
78,Programming,Data Types,double vs float?,Same precision,double has higher precision,float is larger,No difference,B,double uses 64 bits vs float's 32 bits giving more precision,programming,Programming (C++/Java/Python)
79,Programming,Arrays,Accessing array out of bounds causes?,Logic error,Array index out of bounds exception,Syntax error,Compilation error,B,Out-of-bounds access throws runtime exception,programming,Programming (C++/Java/Python)
80,Programming,OOP,Static method belongs to?,Object,Class,Interface,Package,B,Static methods belong to the class not to instances,programming,Programming (C++/Java/Python)
81,Data Structures,Linear,Stack follows which principle?,FIFO,LIFO,Random,Sorted,B,Stack = Last In First Out (LIFO),dsa,Data Structures & Algorithms
82,Data Structures,Linear,Queue follows which principle?,LIFO,FIFO,Random,Circular,B,Queue = First In First Out (FIFO),dsa,Data Structures & Algorithms
83,Data Structures,Trees,Binary tree node has maximum how many children?,1,2,3,4,B,Binary tree nodes have at most 2 children (left and right),dsa,Data Structures & Algorithms
84,Data Structures,Searching,Binary search requires array to be?,Unsorted,Sorted,Circular,Linked,B,Binary search only works on sorted arrays,dsa,Data Structures & Algorithms
85,Data Structures,Sorting,Bubble sort time complexity worst case?,O(n),O(log n),O(n²),O(n log n),C,Bubble sort compares adjacent elements: O(n²) worst case,dsa,Data Structures & Algorithms
86,Data Structures,Linear,Which uses nodes and pointers?,Array,Linked List,Stack,Queue,B,Linked list nodes contain data and pointer to next node,dsa,Data Structures & Algorithms
87,Data Structures,Trees,Inorder traversal visits nodes in?,Root-Left-Right,Left-Root-Right,Left-Right-Root,Right-Root-Left,B,Inorder = Left → Root → Right (gives sorted output for BST),dsa,Data Structures & Algorithms
88,Data Structures,Trees,BST property: left child is?,Greater than root,Less than root,Equal to root,Random,B,In BST left child < parent < right child,dsa,Data Structures & Algorithms
89,Data Structures,Hashing,Purpose of hashing?,Sorting data,Fast data retrieval using key,Compressing data,Encrypting data,B,Hashing maps keys to positions enabling O(1) average lookup,dsa,Data Structures & Algorithms
90,Data Structures,Graphs,"Graph G = (V, E) where V is?",Edges,Vertices/Nodes,Values,Variables,B,V represents the set of vertices/nodes in the graph,dsa,Data Structures & Algorithms
91,Data Structures,Graphs,DFS stands for?,Data First Search,Depth First Search,Direct Find Search,Data Find System,B,"DFS = Depth First Search, explores as deep as possible first",dsa,Data Structures & Algorithms
92,Data Structures,Graphs,BFS uses which data structure?,Stack,Queue,Tree,Heap,B,BFS uses Queue to process nodes level by level,dsa,Data Structures & Algorithms
93,Data Structures,Sorting,Merge sort time complexity?,O(n²),O(n),O(n log n),O(log n),C,Merge sort always O(n log n) — divides and merges,dsa,Data Structures & Algorithms
94,Data Structures,Trees,Height of a tree is?,Number of nodes,Number of edges on longest path from root to leaf,Number of leaves,Number of levels,B,Height = longest path from root to deepest leaf,dsa,Data Structures & Algorithms
95,Data Structures,Linear,Push operation on stack?,Removes top element,Adds element to top,Searches element,Sorts elements,B,Push adds an element to the top of the stack,dsa,Data Structures & Algorithms
96,Data Structures,Linear,Dequeue operation on queue?,Adds element,Removes front element,Searches element,Sorts elements,B,Dequeue removes the front element from the queue,dsa,Data Structures & Algorithms
97,Data Structures,Sorting,Quick sort worst case?,O(n log n),O(n),O(n²),O(log n),C,QuickSort worst case O(n²) occurs when pivot is always min/max,dsa,Data Structures & Algorithms
98,Data Structures,Graphs,Weighted graph has?,Only vertices,Edges with values/weights,No edges,Sorted vertices,B,Weighted graphs assign numerical values to edges,dsa,Data Structures & Algorithms
99,Data Structures,Trees,Complete binary tree?,All nodes have 2 children,All levels filled except possibly last,Has only one child,Sorted tree,B,Complete binary tree fills all levels except possibly the last,dsa,Data Structures & Algorithms
100,Data Structures,Searching,Linear search time complexity?,O(1),O(log n),O(n),O(n²),C,Linear search checks each element: O(n) worst case,dsa,Data Structures & Algorithms
101,Data Structures,Hashing,Hash collision occurs when?,Two keys have same hash value,Array is full,Tree is unbalanced,Stack overflows,A,Collision = two different keys map to same hash index,dsa,Data Structures & Algorithms
102,Data Structures,Sorting,Selection sort selects?,Largest element repeatedly,Smallest element repeatedly and places in position,Random element,Middle element,B,Selection sort finds minimum in unsorted part and swaps,dsa,Data Structures & Algorithms
103,Data Structures,Trees,AVL tree is?,Unbalanced BST,Self-balancing BST,Graph,Heap,B,"AVL tree maintains balance factor of -1,0, or 1 at every node",dsa,Data Structures & Algorithms
104,Data Structures,Linear,Which allows insertion at both ends?,Stack,Queue,Deque,Array,C,Deque (Double-ended queue) allows insert/delete at both ends,dsa,Data Structures & Algorithms
105,Data Structures,Graphs,Dijkstra's algorithm finds?,Minimum spanning tree,Shortest path from source,Maximum flow,Topological order,B,Dijkstra finds shortest paths from single source vertex,dsa,Data Structures & Algorithms
106,Data Structures,Sorting,Insertion sort best case?,O(n²),O(n log n),O(n),O(1),C,Already sorted array: insertion sort makes n-1 comparisons O(n),dsa,Data Structures & Algorithms
107,Data Structures,Trees,Heap data structure property?,Parent always less than children,Parent always greater than or equal to children (max-heap),Random order,Sorted left to right,B,Max-heap: every parent ≥ both children,dsa,Data Structures & Algorithms
108,Data Structures,Complexity,Space complexity measures?,Time taken,Memory used by algorithm,CPU usage,Network usage,B,Space complexity measures the memory an algorithm requires,dsa,Data Structures & Algorithms
109,Data Structures,Graphs,Adjacency matrix representation?,List of edges,2D matrix showing connections,Sorted array,Heap,B,Adjacency matrix uses n×n matrix to represent graph edges,dsa,Data Structures & Algorithms
110,Data Structures,Trees,Preorder traversal?,Left-Root-Right,Root-Left-Right,Left-Right-Root,Right-Left-Root,B,Preorder = Root → Left → Right,dsa,Data Structures & Algorithms
111,Databases,SQL,SELECT statement is used to?,Insert data,Retrieve data,Delete data,Update data,B,SELECT retrieves data from database tables,databases,Databases
112,Databases,SQL,WHERE clause is used to?,Sort results,Filter rows based on condition,Group results,Join tables,B,WHERE filters rows that satisfy the specified condition,databases,Databases
113,Databases,Normalization,1NF requires?,No repeating groups,Atomic values in each cell,Both A and B,Foreign keys,C,1NF requires atomic values and no repeating groups,databases,Databases
114,Databases,Normalization,2NF removes?,Transitive dependency,Partial dependency,All redundancy,Duplicate rows,B,2NF eliminates partial dependencies on composite primary key,databases,Databases
115,Databases,Normalization,3NF removes?,Partial dependency,Transitive dependency,All anomalies,Null values,B,3NF eliminates transitive dependencies between non-key attributes,databases,Databases
116,Databases,Keys,Primary key must be?,Null,Duplicate,Unique and not null,Optional,C,Primary key uniquely identifies each row; must be unique and non-null,databases,Databases
117,Databases,Keys,Foreign key?,Must be unique,References primary key in another table,Cannot be null,Is always a composite key,B,Foreign key links tables by referencing another table's primary key,databases,Databases
118,Databases,SQL,ORDER BY sorts?,Filters rows,Results in ascending or descending order,Groups results,Joins tables,B,ORDER BY arranges result set in specified order,databases,Databases
119,Databases,SQL,GROUP BY is used with?,WHERE,Aggregate functions like COUNT/SUM,ORDER BY,HAVING only,B,GROUP BY is used with aggregate functions to group results,databases,Databases
120,Databases,Transactions,ACID stands for?,Atomicity Consistency Isolation Durability,All Correct In Database,Automated Control In Design,Access Control In Data,A,ACID properties ensure reliable database transactions,databases,Databases
121,Databases,SQL,JOIN combines?,Rows from same table,Rows from two or more tables,Columns only,Aggregates data,B,JOIN combines rows from multiple tables based on related columns,databases,Databases
122,Databases,SQL,COUNT() function?,Sums values,Counts number of rows,Averages values,Finds maximum,B,COUNT() returns the number of rows matching criteria,databases,Databases
123,Databases,Normalization,BCNF is stricter than?,1NF,2NF,3NF,4NF,C,BCNF is a stronger version of 3NF,databases,Databases
124,Databases,Architecture,DBMS stands for?,Data Base Memory System,Database Management System,Data Binary Management System,Distributed Base Management System,B,DBMS = Database Management System,databases,Databases
125,Databases,SQL,INSERT INTO adds?,New rows to table,New columns,New database,New index,A,INSERT INTO adds new records/rows to a table,databases,Databases
126,Databases,SQL,UPDATE statement?,Deletes records,Modifies existing records,Adds records,Creates table,B,UPDATE modifies existing data in a table,databases,Databases
127,Databases,SQL,DELETE removes?,Entire table,Rows from table,Columns from table,Database itself,B,DELETE removes specific rows from a table,databases,Databases
128,Databases,SQL,DROP TABLE?,Removes rows,Removes entire table and structure,Removes column,Removes index,B,DROP TABLE deletes the table structure and all its data,databases,Databases
129,Databases,Indexing,Index in database?,Increases data redundancy,Speeds up data retrieval,Slows queries,Encrypts data,B,Index improves query performance by enabling faster lookup,databases,Databases
130,Databases,SQL,HAVING clause filters?,Individual rows,Groups after GROUP BY,Tables,Columns,B,HAVING filters groups created by GROUP BY (like WHERE for groups),databases,Databases
131,Databases,NoSQL,NoSQL databases are?,Relational,Non-relational,Always slower,Only for small data,B,NoSQL databases are non-relational and flexible schema,databases,Databases
132,Databases,SQL,AVG() computes?,Sum of values,Count of values,Average of values,Maximum value,C,AVG() calculates arithmetic mean of numeric column values,databases,Databases
133,Databases,Transactions,Atomicity means?,Transaction is fast,All operations succeed or all fail,Data is consistent,Transactions are isolated,B,Atomicity: transaction is all-or-nothing; no partial execution,databases,Databases
134,Databases,Security,SQL injection is?,A query optimization,An attack inserting malicious SQL code,A database design,A normalization form,B,SQL injection attacks insert malicious SQL to manipulate databases,databases,Databases
135,Databases,Architecture,Schema defines?,Data stored in table,Structure and organization of database,Query results,Index type,B,Schema describes the logical structure of the database,databases,Databases
136,Databases,Distributed,Distributed database?,Single location database,Database spread across multiple locations,Encrypted database,Compressed database,B,Distributed databases store data across multiple physical locations,databases,Databases
137,Databases,SQL,DISTINCT keyword?,Sorts results,Returns only unique values,Counts rows,Joins tables,B,DISTINCT eliminates duplicate values from result set,databases,Databases
138,Databases,Normalization,Denormalization?,Increases normalization,Deliberately introduces redundancy for performance,Removes all redundancy,Enforces constraints,B,Denormalization adds redundancy to improve read performance,databases,Databases
139,Databases,SQL,BETWEEN operator selects?,Values less than,Values within a range,Values greater than,NULL values,B,BETWEEN selects values within a specified range (inclusive),databases,Databases
140,Databases,Transactions,Isolation level prevents?,Data storage,Concurrent transactions interfering with each other,Data loss,Query slowness,B,Isolation prevents concurrent transactions from affecting each other,databases,Databases
141,Web Dev,HTML,HTML stands for?,High Text Markup Language,HyperText Markup Language,Hyper Transfer Markup Language,High Transfer Markup Language,B,HTML = HyperText Markup Language — web page structure,web_development,Web Development
142,Web Dev,HTML,<a> tag creates?,Image,Hyperlink,Button,Table,B,<a> (anchor) tag creates hyperlinks,web_development,Web Development
143,Web Dev,CSS,CSS stands for?,Computer Style Sheets,Cascading Style Sheets,Creative Style Sheets,Coding Style Sheets,B,CSS = Cascading Style Sheets — controls presentation,web_development,Web Development
144,Web Dev,JavaScript,JavaScript is primarily?,Server-side language,Client-side scripting language,Database language,Markup language,B,JavaScript runs in the browser for client-side interactivity,web_development,Web Development
145,Web Dev,HTML,<table> tag creates?,List,Table,Form,Link,B,<table> creates an HTML table,web_development,Web Development
146,Web Dev,CSS,CSS selector # selects by?,Class,ID,Tag,Attribute,B,# selects elements by their ID attribute,web_development,Web Development
147,Web Dev,CSS,CSS selector . selects by?,ID,Tag,Class,Attribute,C,. (dot) selects elements by their class attribute,web_development,Web Development
148,Web Dev,HTML,<form> tag is used for?,Navigation,User input collection,Images,Tables,B,<form> creates a form for collecting user input,web_development,Web Development
149,Web Dev,Protocols,HTTP stands for?,High Transfer Text Protocol,HyperText Transfer Protocol,Hyper Transfer Text Program,High Text Transfer Protocol,B,HTTP = HyperText Transfer Protocol,web_development,Web Development
150,Web Dev,JavaScript,DOM stands for?,Data Object Model,Document Object Model,Design Object Model,Dynamic Object Model,B,DOM = Document Object Model (tree structure of HTML),web_development,Web Development
151,Web Dev,Protocols,HTTPS vs HTTP?,Same speed,HTTPS is encrypted/secure,HTTP is faster always,No difference,B,HTTPS uses SSL/TLS for encrypted secure communication,web_development,Web Development
152,Web Dev,HTML,<img> tag attribute src specifies?,Image size,Image source URL,Image style,Image alt text,B,src attribute specifies the URL/path of the image,web_development,Web Development
153,Web Dev,JavaScript,getElementById() does?,Creates element,Finds element by ID,Deletes element,Styles element,B,getElementById() returns element with specified ID,web_development,Web Development
154,Web Dev,Backend,REST API uses which protocol?,FTP,HTTP,SMTP,Telnet,B,REST APIs use HTTP protocol for communication,web_development,Web Development
155,Web Dev,HTML,<div> is?,Inline element,Block-level container element,Table element,Form element,B,<div> is a block-level generic container element,web_development,Web Development
156,Web Dev,CSS,display: none; does?,Hides but keeps space,Hides element and removes from layout,Changes color,Changes size,B,display:none hides element and removes it from document flow,web_development,Web Development
157,Web Dev,JavaScript,typeof operator returns?,Value of variable,Data type of variable,Size of variable,Boolean,B,typeof returns a string indicating the data type of operand,web_development,Web Development
158,Web Dev,Security,XSS attack stands for?,XML Style Scripting,Cross-Site Scripting,Cross-Server Security,XML Server Script,B,XSS = Cross-Site Scripting attack injecting malicious scripts,web_development,Web Development
159,Web Dev,Backend,Node.js is?,Browser,JavaScript runtime environment for server-side,Database,CSS framework,B,Node.js allows JavaScript to run server-side,web_development,Web Development
160,Web Dev,HTML,alt attribute in img?,Links image,Provides alternative text for image,Sizes image,Positions image,B,alt provides alternative text when image cannot be displayed,web_development,Web Development
161,Web Dev,JavaScript,null vs undefined?,Same thing,null is intentional absence; undefined is unassigned variable,undefined is intentional,No difference,B,null = intentional empty; undefined = not yet assigned,web_development,Web Development
162,Web Dev,Frontend,React is a?,Database,Backend framework,Frontend JavaScript library,CSS framework,C,React is a JavaScript library for building user interfaces,web_development,Web Development
163,Web Dev,CSS,Flexbox is used for?,Database queries,Responsive layout design,JavaScript events,Server routing,B,Flexbox provides flexible box layout for responsive designs,web_development,Web Development
164,Web Dev,Protocols,URL stands for?,Universal Resource Link,Uniform Resource Locator,Universal Resource Locator,Unified Resource Link,B,URL = Uniform Resource Locator — web address,web_development,Web Development
165,Web Dev,JavaScript,async/await is used for?,Synchronous programming,Handling asynchronous operations cleanly,Database access,CSS animations,B,async/await simplifies working with Promises and async code,web_development,Web Development
166,Web Dev,HTML,Semantic HTML means?,HTML with styling,Using tags that describe their meaning,HTML without CSS,Compressed HTML,B,Semantic HTML uses meaningful tags like <header> <article>,web_development,Web Development
